column,source,strategy,value
poi_dominant_semantic_category,osm,none_for_missing_or_zero_poi,none
poi_dominant_semantic_category_label,osm,none_for_missing_or_zero_poi,none
poi_dominant_semantic_category_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_food_drink_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_food_drink_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_food_drink_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_retail_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_retail_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_retail_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_education_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_education_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_education_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_healthcare_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_healthcare_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_healthcare_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_transport_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_transport_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_transport_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_recreation_green_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_recreation_green_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_recreation_green_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_culture_tourism_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_culture_tourism_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_culture_tourism_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_public_service_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_public_service_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_public_service_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_emergency_safety_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_emergency_safety_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_emergency_safety_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_finance_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_finance_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_finance_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_accommodation_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_accommodation_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_accommodation_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_religion_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_religion_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_religion_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_office_work_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_office_work_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_office_work_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_industrial_logistics_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_industrial_logistics_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_industrial_logistics_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_other_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_other_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_other_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_commercial_activity_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_commercial_activity_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_commercial_activity_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_daily_activity_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_daily_activity_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_daily_activity_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_social_infrastructure_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_social_infrastructure_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_social_infrastructure_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_mobility_access_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_mobility_access_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_mobility_access_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_recreation_environment_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_recreation_environment_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_recreation_environment_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_safety_public_service_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_safety_public_service_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_safety_public_service_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_employment_industrial_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_employment_industrial_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_employment_industrial_density_per_km2,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_amenity_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_amenity_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_highway_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_highway_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_leisure_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_leisure_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_public_transport_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_public_transport_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_railway_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_railway_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_shop_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_shop_share,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_tourism_count,osm,zero_for_missing_osm_or_zero_poi,0.0
poi_osm_tag_tourism_share,osm,zero_for_missing_osm_or_zero_poi,0.0
pluto_avg_num_floors,pluto,median_for_average_or_intensity,2.2887808425627365
pluto_building_area_to_lot_area_ratio,pluto,median_for_average_or_intensity,0.8592542341833893
pluto_commercial_area_ratio,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_commercial,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_area_industrial,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_area_mixed_use,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_area_open_space,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_area_parking,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_area_public_facility,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_area_ratio_commercial,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_ratio_industrial,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_ratio_mixed_use,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_ratio_open_space,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_ratio_parking,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_ratio_public_facility,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_ratio_residential,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_ratio_transportation_utility,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_ratio_unknown,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_ratio_vacant,pluto,zero_for_missing_ratio_share,0.0
pluto_lot_area_residential,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_area_transportation_utility,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_area_unknown,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_area_vacant,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_commercial,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_industrial,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_mixed_use,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_open_space,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_parking,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_public_facility,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_residential,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_transportation_utility,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_unknown,pluto,zero_for_missing_count_sum_density,0.0
pluto_lot_count_vacant,pluto,zero_for_missing_count_sum_density,0.0
pluto_office_area_ratio,pluto,zero_for_missing_ratio_share,0.0
pluto_parcel_count,pluto,zero_for_missing_count_sum_density,0.0
pluto_parcel_density_per_km2,pluto,zero_for_missing_count_sum_density,0.0
pluto_residential_area_ratio,pluto,zero_for_missing_ratio_share,0.0
pluto_retail_area_ratio,pluto,zero_for_missing_ratio_share,0.0
pluto_total_building_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_buildings,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_commercial_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_factory_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_garage_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_lot_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_office_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_other_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_residential_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_residential_units,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_retail_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_storage_area,pluto,zero_for_missing_count_sum_density,0.0
pluto_total_units,pluto,zero_for_missing_count_sum_density,0.0
